Symbol    Prob.     Huffman code
J         0.002     111100100 
,         0.002     111100101 
B         0.009     11110011  
!         0.009     1100110   
.         0.011     1100111   
V         0.011     1111000   
W         0.013     000110    
F         0.015     000111    
G         0.015     110010    
K         0.024     111101    
C         0.026     00010     
I         0.029     10100     
P         0.031     10101     
D         0.031     10110     
M         0.033     10111     
H         0.033     11000     
Y         0.037     11010     
U         0.042     11011     
L         0.048     11111     
R         0.051     0000      
N         0.055     0100      
S         0.055     0101      
A         0.081     1110      
O         0.108     001       
T         0.112     011       
E         0.116     100       
